,Actual,Forecast
2015-04-01,357.07300000000004,
2015-04-02,341.931,
2015-04-03,318.777,
2015-04-04,312.494,
2015-04-05,270.837,
2015-04-06,290.126,
2015-04-07,296.189,
2015-04-08,285.508,
2015-04-09,251.327,
2015-04-10,220.16299999999998,
2015-04-11,236.15400000000002,
2015-04-12,217.335,
2015-04-13,265.307,
2015-04-14,233.169,
2015-04-15,209.638,
2015-04-16,232.82299999999998,
2015-04-17,241.55700000000002,
2015-04-18,212.68599999999998,
2015-04-19,215.325,
2015-04-20,222.048,
2015-04-21,220.917,
2015-04-22,255.78799999999998,
2015-04-23,232.227,
2015-04-24,204.643,
2015-04-25,203.984,
2015-04-26,216.519,
2015-04-27,228.99099999999999,
2015-04-28,269.10900000000004,
2015-04-29,259.181,
2015-04-30,250.416,
2015-05-01,241.18,
2015-05-02,205.209,
2015-05-03,202.601,
2015-05-04,186.642,
2015-05-05,174.233,
2015-05-06,207.125,
2015-05-07,223.11599999999999,
2015-05-08,207.53400000000002,
2015-05-09,178.91400000000002,
2015-05-10,173.95,
2015-05-11,182.46400000000003,
2015-05-12,195.25,
2015-05-13,197.229,
2015-05-14,180.673,
2015-05-15,209.261,
2015-05-16,215.199,
2015-05-17,183.94,
2015-05-18,237.567,
2015-05-19,236.688,
2015-05-20,227.514,
2015-05-21,196.16099999999997,
2015-05-22,179.071,
2015-05-23,170.30599999999998,
2015-05-24,157.111,
2015-05-25,171.15400000000002,
2015-05-26,196.067,
2015-05-27,180.233,
2015-05-28,193.899,
2015-05-29,208.979,
2015-05-30,183.18599999999998,
2015-05-31,190.412,
2015-06-01,196.821,
2015-06-02,197.889,
2015-06-03,193.019,
2015-06-04,184.34900000000002,
2015-06-05,175.207,
2015-06-06,147.875,
2015-06-07,150.954,
2015-06-08,173.699,
2015-06-09,192.485,
2015-06-10,177.37400000000002,
2015-06-11,164.71400000000003,
2015-06-12,160.253,
2015-06-13,140.681,
2015-06-14,150.954,
2015-06-15,180.893,
2015-06-16,195.91,
2015-06-17,178.505,
2015-06-18,177.40599999999998,
2015-06-19,183.72,
2015-06-20,169.018,
2015-06-21,160.033,
2015-06-22,213.53400000000002,
2015-06-23,225.095,
2015-06-24,201.37599999999998,
2015-06-25,191.763,
2015-06-26,174.83,
2015-06-27,142.84799999999998,
2015-06-28,144.953,
2015-06-29,175.489,
2015-06-30,174.61,
2015-07-01,182.024,
2015-07-02,181.773,
2015-07-03,179.479,
2015-07-04,142.88,
2015-07-05,142.0,
2015-07-06,199.083,
2015-07-07,195.847,
2015-07-08,167.918,
2015-07-09,185.385,
2015-07-10,175.207,
2015-07-11,139.235,
2015-07-12,136.439,
2015-07-13,180.202,
2015-07-14,189.25,
2015-07-15,203.701,
2015-07-16,199.46,
2015-07-17,177.62599999999998,
2015-07-18,137.005,
2015-07-19,138.32399999999998,
2015-07-20,182.90400000000002,
2015-07-21,183.5,
2015-07-22,188.967,
2015-07-23,188.967,
2015-07-24,173.57299999999998,
2015-07-25,139.92700000000002,
2015-07-26,137.41299999999998,
2015-07-27,152.493,
2015-07-28,154.189,
2015-07-29,161.289,
2015-07-30,174.327,
2015-07-31,160.944,
2015-08-01,137.382,
2015-08-02,130.345,
2015-08-03,151.111,
2015-08-04,151.80200000000002,
2015-08-05,144.388,
2015-08-06,157.614,
2015-08-07,141.058,
2015-08-08,127.29700000000001,
2015-08-09,126.95200000000001,
2015-08-10,157.362,
2015-08-11,161.415,
2015-08-12,158.68200000000002,
2015-08-13,152.87,
2015-08-14,164.11700000000002,
2015-08-15,142.094,
2015-08-16,142.72299999999998,
2015-08-17,194.873,
2015-08-18,204.832,
2015-08-19,185.44799999999998,
2015-08-20,185.385,
2015-08-21,181.396,
2015-08-22,145.016,
2015-08-23,136.911,
2015-08-24,179.00799999999998,
2015-08-25,178.78799999999998,
2015-08-26,177.02900000000002,
2015-08-27,196.946,
2015-08-28,193.71099999999998,
2015-08-29,156.16899999999998,
2015-08-30,141.874,
2015-08-31,193.334,
2015-09-01,188.84099999999998,
2015-09-02,198.894,
2015-09-03,213.817,
2015-09-04,202.57,
2015-09-05,177.123,
2015-09-06,173.07,
2015-09-07,203.135,
2015-09-08,211.838,
2015-09-09,194.99900000000002,
2015-09-10,202.00400000000002,
2015-09-11,190.28599999999997,
2015-09-12,160.001,
2015-09-13,145.487,
2015-09-14,185.44799999999998,
2015-09-15,198.737,
2015-09-16,200.99900000000002,
2015-09-17,213.44,
2015-09-18,200.49599999999998,
2015-09-19,175.42700000000002,
2015-09-20,177.75099999999998,
2015-09-21,208.75900000000001,
2015-09-22,220.885,
2015-09-23,234.646,
2015-09-24,244.95,
2015-09-25,240.646,
2015-09-26,216.644,
2015-09-27,204.392,
2015-09-28,245.547,
2015-09-29,238.415,
2015-09-30,236.028,
2015-10-01,239.484,
2015-10-02,240.269,
2015-10-03,220.94799999999998,
2015-10-04,202.31900000000002,
2015-10-05,241.33700000000002,
2015-10-06,232.761,
2015-10-07,236.028,
2015-10-08,255.41099999999997,
2015-10-09,252.773,
2015-10-10,228.331,
2015-10-11,256.51099999999997,
2015-10-12,340.36,
2015-10-13,374.00699999999995,
2015-10-14,376.67699999999996,
2015-10-15,368.88599999999997,
2015-10-16,347.837,
2015-10-17,295.75,
2015-10-18,279.539,
2015-10-19,311.866,
2015-10-20,324.621,
2015-10-21,317.018,
2015-10-22,286.639,
2015-10-23,282.241,
2015-10-24,258.67900000000003,
2015-10-25,246.269,
2015-10-26,279.476,
2015-10-27,279.884,
2015-10-28,296.409,
2015-10-29,292.2,
2015-10-30,284.126,
2015-10-31,245.641,
2015-11-01,246.489,
2015-11-02,312.557,
2015-11-03,307.53,
2015-11-04,292.2,
2015-11-05,274.764,
2015-11-06,243.69299999999998,
2015-11-07,199.9,
2015-11-08,204.015,
2015-11-09,263.705,
2015-11-10,261.475,
2015-11-11,267.72700000000003,
2015-11-12,272.188,
2015-11-13,284.817,
2015-11-14,286.325,
2015-11-15,242.71900000000002,
2015-11-16,286.702,
2015-11-17,284.503,
2015-11-18,285.382,
2015-11-19,313.248,
2015-11-20,350.162,
2015-11-21,349.911,
2015-11-22,390.94,
2015-11-23,428.796,
2015-11-24,439.195,
2015-11-25,407.025,
2015-11-26,406.051,
2015-11-27,401.119,
2015-11-28,336.025,
2015-11-29,315.039,
2015-11-30,374.666,
2015-12-01,346.64300000000003,
2015-12-02,331.815,
2015-12-03,343.879,
2015-12-04,323.961,
2015-12-05,327.825,
2015-12-06,284.848,
2015-12-07,328.139,
2015-12-08,322.92400000000004,
2015-12-09,352.015,
2015-12-10,374.227,
2015-12-11,365.964,
2015-12-12,338.098,
2015-12-13,326.97700000000003,
2015-12-14,380.19599999999997,
2015-12-15,367.975,
2015-12-16,321.605,
2015-12-17,275.518,
2015-12-18,294.776,
2015-12-19,252.333,
2015-12-20,254.218,
2015-12-21,303.478,
2015-12-22,280.16700000000003,
2015-12-23,295.687,
2015-12-24,289.027,
2015-12-25,271.685,
2015-12-26,234.206,
2015-12-27,258.113,
2015-12-28,312.086,
2015-12-29,338.35,
2015-12-30,326.411,
2015-12-31,301.216,
2016-01-01,312.84,
2016-01-02,338.601,
2016-01-03,338.13,
2016-01-04,415.664,
2016-01-05,421.413,
2016-01-06,445.82300000000004,
2016-01-07,434.13699999999994,
2016-01-08,403.286,
2016-01-09,350.69599999999997,
2016-01-10,334.014,
2016-01-11,414.376,
2016-01-12,403.94599999999997,
2016-01-13,429.519,
2016-01-14,461.374,
2016-01-15,459.961,
2016-01-16,424.084,
2016-01-17,457.76099999999997,
2016-01-18,566.492,
2016-01-19,548.1759999999999,
2016-01-20,519.148,
2016-01-21,533.851,
2016-01-22,491.376,
2016-01-23,367.441,
2016-01-24,340.83099999999996,
2016-01-25,326.129,
2016-01-26,348.968,
2016-01-27,341.837,
2016-01-28,372.216,
2016-01-29,363.45099999999996,
2016-01-30,349.0,
2016-01-31,331.344,
2016-02-01,328.98800000000006,
2016-02-02,349.408,
2016-02-03,390.28,
2016-02-04,402.092,
2016-02-05,348.18300000000005,
2016-02-06,289.592,
2016-02-07,298.577,
2016-02-08,349.534,
2016-02-09,409.098,
2016-02-10,411.454,
2016-02-11,415.224,
2016-02-12,429.236,
2016-02-13,388.52099999999996,
2016-02-14,412.523,
2016-02-15,455.405,
2016-02-16,472.55800000000005,
2016-02-17,474.349,
2016-02-18,471.39599999999996,
2016-02-19,399.265,
2016-02-20,339.82599999999996,
2016-02-21,304.64,
2016-02-22,390.029,
2016-02-23,403.066,
2016-02-24,435.01599999999996,
2016-02-25,453.80300000000005,
2016-02-26,447.64599999999996,
2016-02-27,375.2,
2016-02-28,379.56699999999995,
2016-02-29,425.215,
2016-03-01,454.871,
2016-03-02,410.48,
2016-03-03,416.827,
2016-03-04,451.667,
2016-03-05,386.63599999999997,
2016-03-06,380.635,
2016-03-07,426.754,
2016-03-08,424.209,
2016-03-09,401.213,
2016-03-10,392.44800000000004,
2016-03-11,413.74800000000005,
2016-03-12,357.356,
2016-03-13,346.17199999999997,
2016-03-14,394.42699999999996,
2016-03-15,412.74199999999996,
2016-03-16,391.12800000000004,
2016-03-17,372.624,
2016-03-18,401.74699999999996,
2016-03-19,341.994,
2016-03-20,323.144,
2016-03-21,372.93800000000005,
2016-03-22,361.723,
2016-03-23,353.838,
2016-03-24,358.39300000000003,
2016-03-25,359.30400000000003,
2016-03-26,237.59900000000002,
2016-03-27,253.935,
2016-03-28,274.66900000000004,
2016-03-29,322.39,
2016-03-30,316.64099999999996,
2016-03-31,339.07199999999995,
2016-04-01,304.64,
2016-04-02,243.34799999999998,
2016-04-03,191.606,
2016-04-04,257.988,
2016-04-05,283.12,
2016-04-06,303.101,
2016-04-07,322.139,
2016-04-08,326.097,
2016-04-09,253.338,
2016-04-10,228.80200000000002,
2016-04-11,238.604,
2016-04-12,246.77200000000002,
2016-04-13,268.638,
2016-04-14,247.21200000000002,
2016-04-15,251.704,
2016-04-16,238.29,
2016-04-17,253.96599999999998,
2016-04-18,283.34,
2016-04-19,270.55400000000003,
2016-04-20,264.711,
2016-04-21,251.484,
2016-04-22,259.464,
2016-04-23,255.38,
2016-04-24,280.26099999999997,
2016-04-25,351.89,
2016-04-26,353.366,
2016-04-27,316.735,
2016-04-28,329.67900000000003,
2016-04-29,308.661,
2016-04-30,255.41099999999997,
2016-05-01,234.52,
2016-05-02,241.274,
2016-05-03,238.69799999999998,
2016-05-04,224.498,
2016-05-05,174.107,
2016-05-06,162.106,
2016-05-07,138.136,
2016-05-08,135.12,
2016-05-09,158.808,
2016-05-10,159.938,
2016-05-11,162.452,
2016-05-12,163.99099999999999,
2016-05-13,162.012,
2016-05-14,171.562,
2016-05-15,185.291,
2016-05-16,198.549,
2016-05-17,221.765,
2016-05-18,224.31,
2016-05-19,215.105,
2016-05-20,207.09400000000002,
2016-05-21,143.759,
2016-05-22,165.53099999999998,
2016-05-23,228.582,
2016-05-24,235.4,
2016-05-25,239.138,
2016-05-26,206.183,
2016-05-27,190.192,
2016-05-28,145.92700000000002,
2016-05-29,143.194,
2016-05-30,192.548,
2016-05-31,178.41099999999997,
2016-06-01,185.668,
2016-06-02,183.18599999999998,
2016-06-03,186.045,
2016-06-04,141.56,
2016-06-05,137.602,
2016-06-06,172.725,
2016-06-07,172.31599999999997,
2016-06-08,165.71900000000002,
2016-06-09,173.07,
2016-06-10,178.56799999999998,
2016-06-11,149.94799999999998,
2016-06-12,145.55,
2016-06-13,195.34400000000002,
2016-06-14,194.18200000000002,
2016-06-15,203.952,
2016-06-16,197.543,
2016-06-17,191.48,
2016-06-18,151.55,
2016-06-19,152.901,
2016-06-20,196.31799999999998,
2016-06-21,198.266,
2016-06-22,188.18099999999998,
2016-06-23,192.8,
2016-06-24,181.364,
2016-06-25,145.67600000000002,
2016-06-26,148.754,
2016-06-27,195.12400000000002,
2016-06-28,190.44299999999998,
2016-06-29,184.41099999999997,
2016-06-30,191.983,
2016-07-01,193.239,
2016-07-02,149.697,
2016-07-03,154.786,
2016-07-04,188.433,
2016-07-05,189.03,
2016-07-06,200.528,
2016-07-07,196.09799999999998,
2016-07-08,190.632,
2016-07-09,151.865,
2016-07-10,145.173,
2016-07-11,173.981,
2016-07-12,192.36,
2016-07-13,183.972,
2016-07-14,180.359,
2016-07-15,169.709,
2016-07-16,147.623,
2016-07-17,145.80100000000002,
2016-07-18,189.94099999999997,
2016-07-19,183.092,
2016-07-20,181.458,
2016-07-21,185.762,
2016-07-22,183.5,
2016-07-23,143.414,
2016-07-24,140.398,
2016-07-25,184.34900000000002,
2016-07-26,184.946,
2016-07-27,179.22799999999998,
2016-07-28,191.826,
2016-07-29,174.358,
2016-07-30,148.158,
2016-07-31,143.131,
2016-08-01,176.338,
2016-08-02,190.16099999999997,
2016-08-03,163.834,
2016-08-04,170.52599999999998,
2016-08-05,180.17,
2016-08-06,151.079,
2016-08-07,137.256,
2016-08-08,166.09599999999998,
2016-08-09,184.47400000000002,
2016-08-10,169.709,
2016-08-11,196.287,
2016-08-12,176.21200000000002,
2016-08-13,149.82299999999998,
2016-08-14,153.058,
2016-08-15,180.453,
2016-08-16,195.56400000000002,
2016-08-17,199.805,
2016-08-18,200.308,
2016-08-19,195.50099999999998,
2016-08-20,161.541,
2016-08-21,153.592,
2016-08-22,209.984,
2016-08-23,199.02,
2016-08-24,198.611,
2016-08-25,190.035,
2016-08-26,196.475,
2016-08-27,170.11700000000002,
2016-08-28,151.45600000000002,
2016-08-29,201.78400000000002,
2016-08-30,207.282,
2016-08-31,207.43900000000002,
2016-09-01,208.602,
2016-09-02,201.942,
2016-09-03,170.4,
2016-09-04,161.761,
2016-09-05,209.199,
2016-09-06,206.21400000000003,
2016-09-07,200.622,
2016-09-08,203.764,
2016-09-09,204.518,
2016-09-10,182.30700000000002,
2016-09-11,181.458,
2016-09-12,203.292,
2016-09-13,201.43900000000002,
2016-09-14,203.544,
2016-09-15,201.722,
2016-09-16,205.68,
2016-09-17,177.343,
2016-09-18,175.804,
2016-09-19,213.09400000000002,
2016-09-20,210.235,
2016-09-21,207.377,
2016-09-22,212.81099999999998,
2016-09-23,205.429,
2016-09-24,175.709,
2016-09-25,162.546,
2016-09-26,215.639,
2016-09-27,214.257,
2016-09-28,184.78799999999998,
2016-09-29,188.967,
2016-09-30,207.062,
2016-10-01,201.69,
2016-10-02,205.743,
2016-10-03,213.25099999999998,
2016-10-04,226.477,
2016-10-05,243.09599999999998,
2016-10-06,272.156,
2016-10-07,263.894,
2016-10-08,234.426,
2016-10-09,252.835,
2016-10-10,305.08,
2016-10-11,315.384,
2016-10-12,310.264,
2016-10-13,303.666,
2016-10-14,286.639,
2016-10-15,255.22299999999998,
2016-10-16,222.676,
2016-10-17,264.77299999999997,
2016-10-18,308.222,
2016-10-19,326.034,
2016-10-20,342.434,
2016-10-21,329.67900000000003,
2016-10-22,299.73900000000003,
2016-10-23,304.2,
2016-10-24,359.49199999999996,
2016-10-25,354.026,
2016-10-26,329.49,
2016-10-27,292.639,
2016-10-28,277.308,
2016-10-29,250.385,
2016-10-30,269.863,
2016-10-31,296.566,
2016-11-01,307.656,
2016-11-02,323.427,
2016-11-03,347.61699999999996,
2016-11-04,338.789,
2016-11-05,312.494,
2016-11-06,319.154,
2016-11-07,404.574,
2016-11-08,442.902,
2016-11-09,438.786,
2016-11-10,425.78,
2016-11-11,429.958,
2016-11-12,408.43800000000005,
2016-11-13,408.124,
2016-11-14,445.164,
2016-11-15,361.597,
2016-11-16,320.6,
2016-11-17,330.213,
2016-11-18,363.074,
2016-11-19,341.962,
2016-11-20,317.80400000000003,
2016-11-21,316.07599999999996,
2016-11-22,327.385,
2016-11-23,349.973,
2016-11-24,381.01199999999994,
2016-11-25,422.23,
2016-11-26,418.61699999999996,
2016-11-27,368.038,
2016-11-28,471.899,
2016-11-29,508.875,
2016-11-30,450.159,
2016-12-01,385.788,
2016-12-02,398.165,
2016-12-03,428.07300000000004,
2016-12-04,466.55800000000005,
2016-12-05,515.158,
2016-12-06,486.099,
2016-12-07,416.38699999999994,
2016-12-08,380.00699999999995,
2016-12-09,348.18300000000005,
2016-12-10,331.218,
2016-12-11,320.851,
2016-12-12,407.119,
2016-12-13,411.17199999999997,
2016-12-14,389.306,
2016-12-15,413.87300000000005,
2016-12-16,427.69599999999997,
2016-12-17,365.619,
2016-12-18,387.57800000000003,
2016-12-19,438.723,
2016-12-20,502.05800000000005,
2016-12-21,460.11800000000005,
2016-12-22,422.733,
2016-12-23,405.58,
2016-12-24,333.731,
2016-12-25,281.675,
2016-12-26,317.835,
2016-12-27,392.416,
2016-12-28,451.164,
2016-12-29,491.18800000000005,
2016-12-30,480.287,
2016-12-31,435.707,
2017-01-01,432.283,
2017-01-02,452.327,
2017-01-03,440.074,
2017-01-04,432.69199999999995,
2017-01-05,520.279,
2017-01-06,547.831,
2017-01-07,493.167,
2017-01-08,417.235,
2017-01-09,441.865,
2017-01-10,428.57599999999996,
2017-01-11,399.077,
2017-01-12,435.77,
2017-01-13,455.06,
2017-01-14,442.462,
2017-01-15,460.463,
2017-01-16,542.427,
2017-01-17,580.975,
2017-01-18,589.269,
2017-01-19,553.3919999999999,
2017-01-20,533.945,
2017-01-21,491.157,
2017-01-22,485.659,
2017-01-23,533.882,
2017-01-24,521.065,
2017-01-25,570.0419999999999,
2017-01-26,565.581,
2017-01-27,507.93300000000005,
2017-01-28,391.254,
2017-01-29,396.72,
2017-01-30,450.347,
2017-01-31,473.784,
2017-02-01,454.023,
2017-02-02,376.20599999999996,
2017-02-03,364.89599999999996,
2017-02-04,362.885,
2017-02-05,366.907,
2017-02-06,426.06300000000005,
2017-02-07,475.731,
2017-02-08,523.923,
2017-02-09,555.559,
2017-02-10,564.764,
2017-02-11,491.62800000000004,
2017-02-12,454.714,
2017-02-13,462.977,
2017-02-14,439.195,
2017-02-15,392.856,
2017-02-16,386.88699999999994,
2017-02-17,408.973,
2017-02-18,365.022,
2017-02-19,345.858,
2017-02-20,356.69599999999997,
2017-02-21,324.652,
2017-02-22,344.224,
2017-02-23,379.881,
2017-02-24,393.139,
2017-02-25,364.89599999999996,
2017-02-26,321.134,
2017-02-27,355.18800000000005,
2017-02-28,405.517,
2017-03-01,377.023,
2017-03-02,396.689,
2017-03-03,378.436,
2017-03-04,314.285,
2017-03-05,319.626,
2017-03-06,383.777,
2017-03-07,403.19199999999995,
2017-03-08,413.05699999999996,
2017-03-09,369.38800000000003,
2017-03-10,340.83099999999996,
2017-03-11,296.095,
2017-03-12,277.874,
2017-03-13,345.45,
2017-03-14,335.11400000000003,
2017-03-15,313.28,
2017-03-16,282.241,
2017-03-17,302.78700000000003,
2017-03-18,288.681,
2017-03-19,264.899,
2017-03-20,320.16,
2017-03-21,328.265,
2017-03-22,339.355,
2017-03-23,318.432,
2017-03-24,304.546,
2017-03-25,248.40599999999998,
2017-03-26,266.376,
2017-03-27,288.30400000000003,
2017-03-28,264.27099999999996,
2017-03-29,277.56,
2017-03-30,225.78599999999997,
2017-03-31,220.60299999999998,
2017-04-01,230.813,
2017-04-02,210.738,
2017-04-03,273.507,
2017-04-04,268.952,
2017-04-05,288.964,
2017-04-06,314.316,
2017-04-07,291.414,
2017-04-08,247.495,
2017-04-09,201.69,
2017-04-10,269.14,
2017-04-11,273.036,
2017-04-12,298.703,
2017-04-13,291.885,
2017-04-14,311.143,
2017-04-15,261.883,
2017-04-16,265.967,
2017-04-17,275.54900000000004,
2017-04-18,330.496,
2017-04-19,359.461,
2017-04-20,308.536,
2017-04-21,278.062,
2017-04-22,262.26,
2017-04-23,262.009,
2017-04-24,295.718,
2017-04-25,326.223,
2017-04-26,333.574,
2017-04-27,308.096,
2017-04-28,311.834,
2017-04-29,261.757,
2017-04-30,205.80599999999998,
2017-05-01,275.518,
2017-05-02,286.41900000000004,
2017-05-03,277.717,
2017-05-04,267.004,
2017-05-05,302.473,
2017-05-06,200.65400000000002,
2017-05-07,206.37099999999998,
2017-05-08,270.20799999999997,
2017-05-09,280.921,
2017-05-10,268.26099999999997,
2017-05-11,222.92700000000002,
2017-05-12,211.398,
2017-05-13,184.63099999999997,
2017-05-14,170.18,
2017-05-15,197.606,
2017-05-16,194.15,
2017-05-17,177.37400000000002,
2017-05-18,187.993,
2017-05-19,204.204,
2017-05-20,183.62599999999998,
2017-05-21,168.295,
2017-05-22,201.37599999999998,
2017-05-23,198.392,
2017-05-24,198.957,
2017-05-25,153.561,
2017-05-26,166.222,
2017-05-27,146.775,
2017-05-28,146.36700000000002,
2017-05-29,194.465,
2017-05-30,193.773,
2017-05-31,196.97799999999998,
2017-06-01,195.847,
2017-06-02,185.13400000000001,
2017-06-03,145.99,
2017-06-04,135.34,
2017-06-05,139.80100000000002,
2017-06-06,164.99599999999998,
2017-06-07,185.574,
2017-06-08,172.03400000000002,
2017-06-09,188.18099999999998,
2017-06-10,150.105,
2017-06-11,142.84799999999998,
2017-06-12,186.454,
2017-06-13,210.33,
2017-06-14,198.988,
2017-06-15,181.364,
2017-06-16,175.646,
2017-06-17,141.811,
2017-06-18,152.58700000000002,
2017-06-19,196.821,
2017-06-20,197.292,
2017-06-21,197.763,
2017-06-22,188.84099999999998,
2017-06-23,184.69400000000002,
2017-06-24,161.446,
2017-06-25,164.83900000000003,
2017-06-26,212.52900000000002,
2017-06-27,211.963,
2017-06-28,212.65400000000002,
2017-06-29,203.795,
2017-06-30,194.55900000000003,
2017-07-01,166.69299999999998,
2017-07-02,166.75599999999997,
2017-07-03,191.763,
2017-07-04,219.84900000000002,
2017-07-05,217.68099999999998,
2017-07-06,214.31900000000002,
2017-07-07,205.9,
2017-07-08,174.735,
2017-07-09,168.578,
2017-07-10,215.608,
2017-07-11,219.62900000000002,
2017-07-12,216.676,
2017-07-13,220.19400000000002,
2017-07-14,210.392,
2017-07-15,163.174,
2017-07-16,161.415,
2017-07-17,209.513,
2017-07-18,199.93099999999998,
2017-07-19,190.28599999999997,
2017-07-20,207.21900000000002,
2017-07-21,191.26,
2017-07-22,155.32,
2017-07-23,158.24200000000002,
2017-07-24,209.638,
2017-07-25,202.57,
2017-07-26,186.893,
2017-07-27,187.64700000000002,
2017-07-28,159.593,
2017-07-29,149.194,
2017-07-30,136.911,
2017-07-31,165.845,
2017-08-01,181.96099999999998,
2017-08-02,179.102,
2017-08-03,155.72899999999998,
2017-08-04,149.069,
2017-08-05,142.817,
2017-08-06,142.534,
2017-08-07,168.358,
2017-08-08,180.799,
2017-08-09,176.93400000000003,
2017-08-10,206.81099999999998,
2017-08-11,196.821,
2017-08-12,155.634,
2017-08-13,148.377,
2017-08-14,170.62,
2017-08-15,182.18099999999998,
2017-08-16,182.118,
2017-08-17,175.898,
2017-08-18,179.636,
2017-08-19,157.048,
2017-08-20,157.519,
2017-08-21,189.56400000000002,
2017-08-22,192.328,
2017-08-23,187.74200000000002,
2017-08-24,192.862,
2017-08-25,191.32299999999998,
2017-08-26,164.965,
2017-08-27,164.368,
2017-08-28,206.87400000000002,
2017-08-29,201.722,
2017-08-30,203.764,
2017-08-31,214.63400000000001,
2017-09-01,213.565,
2017-09-02,166.69299999999998,
2017-09-03,167.47799999999998,
2017-09-04,210.864,
2017-09-05,210.235,
2017-09-06,211.775,
2017-09-07,211.209,
2017-09-08,214.854,
2017-09-09,183.563,
2017-09-10,175.018,
2017-09-11,202.13,
2017-09-12,211.021,
2017-09-13,221.419,
2017-09-14,260.595,
2017-09-15,249.725,
2017-09-16,224.592,
2017-09-17,209.984,
2017-09-18,271.057,
2017-09-19,270.397,
2017-09-20,257.83099999999996,
2017-09-21,248.5,
2017-09-22,259.401,
2017-09-23,217.178,
2017-09-24,193.83599999999998,
2017-09-25,253.24400000000003,
2017-09-26,261.663,
2017-09-27,257.108,
2017-09-28,256.825,
2017-09-29,234.583,
2017-09-30,220.477,
2017-10-01,196.601,
2017-10-02,228.708,
2017-10-03,247.84,
2017-10-04,260.061,
2017-10-05,263.23400000000004,
2017-10-06,281.235,
2017-10-07,266.25,
2017-10-08,260.815,
2017-10-09,301.499,
2017-10-10,275.172,
2017-10-11,264.27099999999996,
